date,datatype,station,attributes,value
2024-01-11T00:00:00,AWBT,GHCND:USW00094728,",,W,",28.0
2024-01-11T00:00:00,AWND,GHCND:USW00094728,",,W,",3.1
2024-01-11T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",0.0
2024-01-11T00:00:00,RHAV,GHCND:USW00094728,",,W,",49.0
2024-01-11T00:00:00,RHMN,GHCND:USW00094728,",,W,",44.0
2024-01-11T00:00:00,RHMX,GHCND:USW00094728,",,W,",54.0
2024-01-11T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
2024-01-11T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
2024-01-11T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",8.3
2024-01-11T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",5.0
2024-01-11T00:00:00,WDF2,GHCND:USW00094728,",,W,",240.0
2024-01-11T00:00:00,WDF5,GHCND:USW00094728,",,W,",240.0
2024-01-11T00:00:00,WSF2,GHCND:USW00094728,",,W,",6.7
2024-01-11T00:00:00,WSF5,GHCND:USW00094728,",,W,",10.3
2024-01-12T00:00:00,ADPT,GHCND:USW00094728,",,W,",-6.0
2024-01-12T00:00:00,ASLP,GHCND:USW00094728,",,W,",10176.0
2024-01-12T00:00:00,ASTP,GHCND:USW00094728,",,W,",10115.0
2024-01-12T00:00:00,AWBT,GHCND:USW00094728,",,W,",39.0
2024-01-12T00:00:00,AWND,GHCND:USW00094728,",,W,",3.1
2024-01-12T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",2.0
2024-01-12T00:00:00,RHAV,GHCND:USW00094728,",,W,",59.0
2024-01-12T00:00:00,RHMN,GHCND:USW00094728,",,W,",39.0
2024-01-12T00:00:00,RHMX,GHCND:USW00094728,",,W,",86.0
2024-01-12T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
2024-01-12T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
2024-01-12T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",10.0
2024-01-12T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",4.4
2024-01-12T00:00:00,WDF2,GHCND:USW00094728,",,W,",80.0
2024-01-12T00:00:00,WDF5,GHCND:USW00094728,",,W,",20.0
2024-01-12T00:00:00,WSF2,GHCND:USW00094728,",,W,",7.2
2024-01-12T00:00:00,WSF5,GHCND:USW00094728,",,W,",14.3
2024-01-12T00:00:00,WT01,GHCND:USW00094728,",,W,",1.0
2024-01-13T00:00:00,ADPT,GHCND:USW00094728,",,W,",22.0
2024-01-13T00:00:00,ASLP,GHCND:USW00094728,",,W,",9953.0
2024-01-13T00:00:00,ASTP,GHCND:USW00094728,",,W,",9902.0
2024-01-13T00:00:00,AWBT,GHCND:USW00094728,",,W,",67.0
2024-01-13T00:00:00,AWND,GHCND:USW00094728,",,W,",4.3
2024-01-13T00:00:00,PRCP,GHCND:USW00094728,",,W,2400",20.6
2024-01-13T00:00:00,RHAV,GHCND:USW00094728,",,W,",64.0
2024-01-13T00:00:00,RHMN,GHCND:USW00094728,",,W,",37.0
2024-01-13T00:00:00,RHMX,GHCND:USW00094728,",,W,",93.0
2024-01-13T00:00:00,SNOW,GHCND:USW00094728,",,W,",0.0
2024-01-13T00:00:00,SNWD,GHCND:USW00094728,",,W,2400",0.0
2024-01-13T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",15.6
2024-01-13T00:00:00,TMIN,GHCND:USW00094728,",,W,2400",1.7
2024-01-13T00:00:00,WDF2,GHCND:USW00094728,",,W,",270.0
2024-01-13T00:00:00,WDF5,GHCND:USW00094728,",,W,",280.0
2024-01-13T00:00:00,WSF2,GHCND:USW00094728,",,W,",9.4
2024-01-13T00:00:00,WSF5,GHCND:USW00094728,",,W,",17.4
